host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
电影-华语电影,2025-06-16,217941.5,871766,4,0.0005195348320376205,588.0,261.0,1482.595238095238,3340.0996168582374
电视剧,2025-06-16,450636.70149253734,30192659,67,0.01799351892862781,588.0,261.0,51348.05952380953,115680.68582375479
电视剧-国产剧,2025-06-16,321339.9655172414,18637718,58,0.011107273844924598,588.0,261.0,31696.799319727892,71408.88122605364
社会,2025-06-16,425392.81904761906,535994952,1260,0.31942980955936856,588.0,261.0,911556.0408163265,2053620.5057471264
科技,2025-06-16,568139.3333333334,3408836,6,0.0020315188235189192,588.0,261.0,5797.340136054422,13060.674329501915
科普,2025-06-16,253515.10714285713,7098423,28,0.0042303531005303974,588.0,261.0,12072.147959183674,27197.02298850575
综艺,2025-06-16,355908.55555555556,57657186,162,0.034361189177223986,588.0,261.0,98056.4387755102,220908.75862068965
综艺-内地综艺,2025-06-16,484677.5625,15509682,32,0.009243099676778983,588.0,261.0,26377.01020408163,59424.06896551724
美图,2025-06-16,248972.0,248972,1,0.00014837654393733005,588.0,261.0,423.421768707483,953.9157088122605
美妆,2025-06-16,1004344.0,1004344,1,0.0005985455860265163,588.0,261.0,1708.0680272108843,3848.0613026819924
美食,2025-06-16,678083.1666666666,4068499,6,0.002424649441031455,588.0,261.0,6919.215986394558,15588.11877394636
育儿,2025-06-16,542528.0,1085056,2,0.000646646447224843,588.0,261.0,1845.3333333333333,4157.302681992337
萌宠,2025-06-16,100854.0,100854,1,6.010462205491174e-05,588.0,261.0,171.5204081632653,386.41379310344826
读书,2025-06-16,118987.0,237974,2,0.00014182221160187564,588.0,261.0,404.71768707482994,911.7777777777778
财经,2025-06-16,406402.4875,32512199,80,0.01937586444830229,588.0,261.0,55292.85544217687,124567.8122605364
财经-产业公司,2025-06-16,238514.5,954058,4,0.000568577304900797,588.0,261.0,1622.547619047619,3655.394636015326
运动健身,2025-06-16,651947.0,1303894,2,0.0007770644304605378,588.0,261.0,2217.5068027210887,4995.762452107279
音乐,2025-06-16,251188.82926829267,10298742,41,0.006137604810429391,588.0,261.0,17514.867346938776,39458.7816091954
音乐-华语音乐,2025-06-16,284019.0,2840190,10,0.0016926304015124811,588.0,261.0,4830.255102040816,10881.954022988506
